F1,F2,F3,F4,F5,F6
0116,2005-07-18,Mon,0116231,011705699,078
0117,2005-07-19,Tue,0082727,011788426,149
0118,2005-07-20,Wed,0079056,011867482,153
0119,2005-07-21,Thu,0075055,011942537,161
0120,2005-07-22,Fri,0083781,012026318,147
0121,2005-07-23,Sat,0103043,012129361,105
0122,2005-07-24,Sun,0108132,012237493,091
0123,2005-07-25,Mon,0086463,012323956,140
0124,2005-07-26,Tue,0063529,012387485,171
0125,2005-07-27,Wed,0099628,012487113,116
0126,2005-07-28,Thu,0094437,012581550,125
0127,2005-07-29,Fri,0095709,012677259,124
0128,2005-07-30,Sat,0107148,012784407,093
0129,2005-07-31,Sun,0102623,012887030,107
0130,2005-08-01,Mon,0084043,012971073,146
0131,2005-08-02,Tue,0090997,013062070,135
0132,2005-08-03,Wed,0096937,013159007,123
0133,2005-08-04,Thu,0100386,013259393,112
0134,2005-08-05,Fri,0093786,013353179,126
0135,2005-08-06,Sat,0101052,013454231,110
0136,2005-08-07,Sun,0114609,013568840,081
0137,2005-08-08,Mon,0128664,013697504,063
0138,2005-08-09,Tue,0127443,013824947,065
0139,2005-08-10,Wed,0133889,013958836,056
0140,2005-08-11,Thu,0143523,014102359,043
0141,2005-08-12,Fri,0139624,014241983,048
0142,2005-08-13,Sat,0131952,014373935,057
0143,2005-08-14,Sun,0136851,014510786,051
0144,2005-08-15,Mon,0166356,014677142,028
0145,2005-08-16,Tue,0143744,014820886,041
0146,2005-08-17,Wed,0130449,014951335,060
0147,2005-08-18,Thu,0145222,015096557,040
0148,2005-08-19,Fri,0127152,015223709,066
0149,2005-08-20,Sat,0141261,015364970,047
0150,2005-08-21,Sun,0122488,015487458,072
0151,2005-08-22,Mon,0111996,015599454,085
0152,2005-08-23,Tue,0126162,015725616,067
0153,2005-08-24,Wed,0134039,015859655,055
0154,2005-08-25,Thu,0085089,015944744,143
0155,2005-08-26,Fri,0142220,016086964,045
0156,2005-08-27,Sat,0184275,016271239,022
0157,2005-08-28,Sun,0175649,016446888,024
0158,2005-08-29,Mon,0173545,016620433,025
0159,2005-08-30,Tue,0154253,016774686,032
0160,2005-08-31,Wed,0148138,016922824,035
0161,2005-09-01,Thu,0177708,017100532,023
0162,2005-09-02,Fri,0168324,017268856,027
0163,2005-09-03,Sat,0249873,017518729,003
0164,2005-09-04,Sun,0193447,017712176,019
0165,2005-09-05,Mon,0134804,017846980,053
0166,2005-09-06,Tue,0124058,017971038,070
0167,2005-09-07,Wed,0155915,018126953,030
0168,2005-09-08,Thu,0192661,018319614,020
0169,2005-09-09,Fri,0196299,018515913,018
0170,2005-09-10,Sat,0250694,018766607,002
0171,2005-09-11,Sun,0219292,018985899,008
0172,2005-09-12,Mon,0197408,019183307,017
0173,2005-09-13,Tue,0202711,019386018,016
0174,2005-09-14,Wed,0218721,019604739,009
0175,2005-09-15,Thu,0211477,019816216,012
0176,2005-09-16,Fri,0209310,020025526,013
0177,2005-09-17,Sat,0224538,020250064,006
0178,2005-09-18,Sun,0281441,020531505,001
0179,2005-09-19,Mon,0222935,020754440,007
0180,2005-09-20,Tue,0203515,020957955,015
0181,2005-09-21,Wed,0192502,021150457,021
0182,2005-09-22,Thu,0207347,021357804,014
0183,2005-09-23,Fri,0234031,021591835,005
0184,2005-09-24,Sat,0213657,021805492,011
0185,2005-09-25,Sun,0244052,022049544,004
